7168;.25 MILES FROM PVA OF 958 HIGH HOUSE RD.;GROOVED CONCRETE;WET;DAYLIGHT;RAIN;2013-03-05 17:33:00+00:00;2013
7170;0 FEET FROM EVANS RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-05 19:59:55+00:00;2013
7175;550 FEET FROM PENNY RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-03-05 22:37:41+00:00;2013
7182;25 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;WET;DUSK;CLOUDY;2013-03-05 22:48:26+00:00;2013
7197;100 FEET FROM MORRISVILLE CARPENTER RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-07 11:45:42+00:00;2013
7205;0 FEET FROM NW CARY PKWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-08 20:27:17+00:00;2013
7214;499 FEET FROM 1700 REGENCY PKWY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-06 05:00:00+00:00;2013
7215;250 FEET FROM US 1 HWY OFF RAMP;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-08 22:01:43+00:00;2013
7220;CARY;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-08 23:21:31+00:00;2013
7222;75 FEET FROM OLD APEX RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-27 17:29:00+00:00;2013
7238;180 FEET FROM CAITBOO AVE;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-03-12 01:49:23+00:00;2013
7250;300 FEET FROM 2011 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-08 19:40:57+00:00;2013
7251;25 FEET FROM 1 N RAMP;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-13 12:27:21+00:00;2013
7254;.10 MILES FROM US 64;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-13 13:14:04+00:00;2013
7257;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-13 18:37:37+00:00;2013
7264;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-13 15:17:00+00:00;2013
7271;10 FEET FROM US 1 SOUTH OFF RAMP;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-15 01:52:18+00:00;2013
7279;300 FEET FROM LARKWOOD LN;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-15 23:53:39+00:00;2013
7286;494 FEET FROM 1415;COARSE ASPHALT;DRY;DAYLIGHT;CLEAR;2013-03-16 13:10:11+00:00;2013
7288;.10 MILES FROM SORRELL ST;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-03-17 03:10:00+00:00;2013
7290;1 MILES FROM US 1 HWY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLOUDY;2013-03-16 17:13:52+00:00;2013
